code,simplename,FQN,assertion,fixed_code,code_name,true_simplenames,true_FQN
"public class ad8 {
       public static void setLocale(Activity activity, String languageCode) {
           Locale.setDefault(locale);
           Resources resources = activity.getResources();
       }
}","Activity
String
Locale
setDefault()
Resources
getResources()","android.app.Activity
java.lang.String
java.util.Locale
java.util.Locale.setDefault()
android.content.res.Resources
android.app.Activity.getResources()",No,"import android.app.Activity;
import java.lang.String;
import java.util.Locale;
import android.content.res.Resources;


public class ad8 {
       public static void setLocale(Activity activity, String languageCode) {
           Locale.setDefault(locale);
           Resources resources = activity.getResources();
       }
}",ad8,"['Activity', 'String', 'Locale', 'Locale()', 'setDefault()', 'Resources', 'getResources()']","['android.app.Activity', 'java.lang.String', 'java.util.Locale', 'java.util.Locale()', 'java.util.Locale.setDefault()', 'android.content.res.Resources', 'android.app.Activity.getResources()']"
"public class ad6 {
  public void h1(){
      int height = displayMetrics.heightPixels;
      int width = displayMetrics.widthPixels;
  }
}","int
heightPixels
widthPixels","int
android.util.DisplayMetrics.heightPixels
android.util.DisplayMetrics.widthPixels",Yes,"import android.util.DisplayMetrics;
public class ad6 {
  public void h1(){
      DisplayMetrics displayMetrics = getResources().getDisplayMetrics();
      int height = displayMetrics.heightPixels;
      int width = displayMetrics.widthPixels;
  }
}",ad6,"['DisplayMetrics', 'DisplayMetrics()']","['android.util.DisplayMetrics', 'android.util.DisplayMetrics()']"
"public class ad5 {
    public static void h1(){
        args.putInt( """" , 328);
        args.putString( """" ,  """" );
    }
}","putInt()
String
putString()","android.os.Bundle.putInt()
java.lang.String
android.os.Bundle.putString()",No,"import android.os.Bundle;
import java.lang.String;


public class ad5 {
    public static void h1(){
        args.putInt( """" , 328);
        args.putString( """" ,  """" );
    }
}
",ad5,"['Bundle', 'Bundle()', 'putInt()', 'putString()']","['android.os.Bundle', 'android.os.Bundle()', 'android.os.Bundle.putInt()', 'android.os.Bundle.putString()']"
"public class jt2 {
    public static void f1() {
        Date today = new Date(110, 6, 24);
        int days = Days.daysBetween(new DateTime(past), new DateTime(today)).getDays();
    }
}","Date
Date()
int
Days
daysBetween()
DateTime
DateTime()
getDays()","java.util.Date
java.util.Date()
int
org.joda.time.Days
org.joda.time.Days.daysBetween()
org.joda.time.DateTime
org.joda.time.DateTime()
org.joda.time.Days.getDays()",Yes,"import java.util.Date;
import org.joda.time.Days;
import org.joda.time.DateTime;
public class jt2 {
    public static void f1() {
        Date today = new Date(110, 6, 24);
        int days = Days.daysBetween(new DateTime(past), new DateTime(today)).getDays();
    }
}",jt2,"['Date', 'Date()', 'daysBetween()', 'DateTime()', 'getDays()']","['java.util.Date', 'java.util.Date()', 'org.joda.time.Days.daysBetween()', 'org.joda.time.DateTime()', 'org.joda.time.Days.getDays()']"
"public class hb11 {
    private Configuration configuration;
    private SessionFactory sessionFactory;
    private Session session;
    private Transaction transaction;
}","Configuration
SessionFactory
Session
Transaction","org.hibernate.cfg.Configuration
org.hibernate.SessionFactory
org.hibernate.Session
org.hibernate.Transaction",No,"import org.hibernate.cfg.Configuration;
import org.hibernate.SessionFactory;
import org.hibernate.Session;
import org.hibernate.Transaction;


public class hb11 {
    private Configuration configuration;
    private SessionFactory sessionFactory;
    private Session session;
    private Transaction transaction;
}
",hb11,"['Configuration', 'SessionFactory', 'Session', 'Transaction']","['org.hibernate.cfg.Configuration', 'org.hibernate.SessionFactory', 'org.hibernate.Session', 'org.hibernate.Transaction']"
"public class xt9{
    public xt9() throws TransformerConfigurationException {
    }
}",TransformerConfigurationException,javax.xml.transform.TransformerConfigurationException,No,"import javax.xml.transform.TransformerConfigurationException;


public class xt9{
    public xt9() throws TransformerConfigurationException {
    }
}","xt9{
",['TransformerConfigurationException'],['javax.xml.transform.TransformerConfigurationException']
"public class ad20 {
    public static void h1(){
        String currentDate = new SimpleDateFormat( """" , Locale.getDefault()).format(new Date());
        Instant instant = Instant.now();
    }
}","String
SimpleDateFormat
Locale
getDefault()
format()
Date
Instant
now()","java.lang.String
java.text.SimpleDateFormat
java.util.Locale
java.util.Locale.getDefault()
java.text.SimpleDateFormat.format()
java.util.Date
java.time.Instant
java.time.Instant.now()",Yes,"import java.lang.String;
import java.text.SimpleDateFormat;
import java.util.Locale;
import java.util.Date;
import java.time.Instant;
public class ad20 {
    public static void h1(){
        String currentDate = new SimpleDateFormat( ""yyyy-MM-dd"" , Locale.getDefault()).format(new Date());
        Instant instant = Instant.now();
    }
}",ad20,"['String', 'SimpleDateFormat()', 'Instant', 'now()']","['java.lang.String', 'java.text.SimpleDateFormat()', 'org.joda.time.Instant', 'org.joda.time.Instant.now()']"
"public class ad16 {
    private void hideKeyboard(Activity activity) {
        if (activity != null && activity.getWindow() != null) {
            InputMethodManager imm = (InputMethodManager) activity.getSystemService(Context.INPUT_METHOD_SERVICE);
        }
    }
}","Activity
getWindow()
InputMethodManager
getSystemService()
Context
INPUT_METHOD_SERVICE","android.app.Activity
android.app.Activity.getWindow()
android.view.inputmethod.InputMethodManager
android.app.Activity.getSystemService()
android.content.Context
android.content.Context.INPUT_METHOD_SERVICE",No,"import android.app.Activity;
import android.view.inputmethod.InputMethodManager;
import android.content.Context;
import android.content.Context.INPUT_METHOD_SERVICE;


public class ad16 {
    private void hideKeyboard(Activity activity) {
        if (activity != null && activity.getWindow() != null) {
            InputMethodManager imm = (InputMethodManager) activity.getSystemService(Context.INPUT_METHOD_SERVICE);
        }
    }
}",ad16,"['Activity', 'getWindow()', 'InputMethodManager', 'getSystemService()', 'Context']","['android.app.Activity', 'android.app.Activity.getWindow()', 'android.view.inputmethod.InputMethodManager', 'android.app.Activity.getSystemService()', 'android.content.Context']"
"public class ad11 {
        public static String convertToHex(byte[] data) {
            StringBuilder buf = new StringBuilder();
            return buf.toString();
        }
}","String
byte[]
StringBuilder
StringBuilder()
toString()","java.lang.String
byte[]
java.lang.StringBuilder
java.lang.StringBuilder()
java.lang.StringBuilder.toString()",No,"import java.lang.String;
import ;
import java.lang.StringBuilder;


public class ad11 {
        public static String convertToHex(byte[] data) {
            StringBuilder buf = new StringBuilder();
            return buf.toString();
        }
}",ad11,"['String', 'StringBuilder', 'StringBuilder()', 'toString()']","['java.lang.String', 'java.lang.StringBuilder', 'java.lang.StringBuilder()', 'java.lang.StringBuilder.toString()']"
"public class ad2 {
    public static void hideKeyboard(Activity activity) {
        InputMethodManager imm = (InputMethodManager) activity.getSystemService(Activity.INPUT_METHOD_SERVICE);
        View view = activity.getCurrentFocus();
    }
}","Activity
InputMethodManager
getSystemService()
View
getCurrentFocus()","android.app.Activity
android.view.inputmethod.InputMethodManager
android.app.Activity.getSystemService()
android.view.View
android.app.Activity.getCurrentFocus()",No,"import android.app.Activity;
import android.view.inputmethod.InputMethodManager;
import android.view.View;


public class ad2 {
    public static void hideKeyboard(Activity activity) {
        InputMethodManager imm = (InputMethodManager) activity.getSystemService(Activity.INPUT_METHOD_SERVICE);
        View view = activity.getCurrentFocus();
    }
}",ad2,"['Activity', 'InputMethodManager', 'getSystemService()', 'View', 'getCurrentFocus()']","['android.app.Activity', 'android.view.inputmethod.InputMethodManager', 'android.app.Activity.getSystemService()', 'android.view.View', 'android.app.Activity.getCurrentFocus()']"
"public class ad4 {
    public static void hideKeyboardFrom(Context context, View view) {
        InputMethodManager imm = (InputMethodManager) context.getSystemService(Activity.INPUT_METHOD_SERVICE);
        imm.hideSoftInputFromWindow(view.getWindowToken(), 0);
    }
}","Context
View
InputMethodManager
getSystemService()
Activity
hideSoftInputFromWindow()
getWindowToken()","android.content.Context
android.view.View
android.view.inputmethod.InputMethodManager
android.content.Context.getSystemService()
android.app.Activity
android.view.inputmethod.InputMethodManager.hideSoftInputFromWindow()
android.view.View.getWindowToken()",No,"import android.content.Context;
import android.view.View;
import android.view.inputmethod.InputMethodManager;
import android.app.Activity;


public class ad4 {
    public static void hideKeyboardFrom(Context context, View view) {
        InputMethodManager imm = (InputMethodManager) context.getSystemService(Activity.INPUT_METHOD_SERVICE);
        imm.hideSoftInputFromWindow(view.getWindowToken(), 0);
    }
}",ad4,"['Context', 'View', 'InputMethodManager', 'getSystemService()', 'Activity', 'hideSoftInputFromWindow()', 'getWindowToken()']","['android.content.Context', 'android.view.View', 'android.view.inputmethod.InputMethodManager', 'android.content.Context.getSystemService()', 'android.app.Activity', 'android.view.inputmethod.InputMethodManager.hideSoftInputFromWindow()', 'android.view.View.getWindowToken()']"
"public class jdk4 {
    public static void h1(String oldDate, String format) throws ParseException {
        SimpleDateFormat sdf = new SimpleDateFormat(format);
        Date dt = sdf.parse(oldDate);
        long epoch = dt.getTime();
    }
}","String
ParseException
SimpleDateFormat
SimpleDateFormat()
Date
parse()
long
getTime()","java.lang.String
java.text.ParseException
java.text.SimpleDateFormat
java.text.SimpleDateFormat()
java.util.Date
java.text.SimpleDateFormat.parse()
java.lang.long
java.util.Date.getTime()",No,"import java.lang.String;
import java.text.ParseException;
import java.text.SimpleDateFormat;
import java.util.Date;
import java.lang.long;


public class jdk4 {
    public static void h1(String oldDate, String format) throws ParseException {
        SimpleDateFormat sdf = new SimpleDateFormat(format);
        Date dt = sdf.parse(oldDate);
        long epoch = dt.getTime();
    }
}
",jdk4,"['String', 'ParseException', 'SimpleDateFormat', 'SimpleDateFormat()', 'Date', 'parse()', 'getTime()']","['java.lang.String', 'java.text.ParseException', 'java.text.SimpleDateFormat', 'java.text.SimpleDateFormat()', 'java.util.Date', 'java.text.DateFormat.parse()', 'java.util.Date.getTime()']"
